"","date","pm25","pm10","o3","no2","so2","co"
"188","28/11/2017",36,NA,NA,NA,NA,NA
"189","29/11/2017",149,NA,NA,NA,NA,NA
"190","30/11/2017",54,NA,NA,NA,NA,NA
"191","1/12/2017",35,NA,NA,NA,NA,NA
"192","2/12/2017",36,NA,NA,NA,NA,NA
"193","3/12/2017",26,NA,NA,NA,NA,NA
"194","4/12/2017",27,NA,NA,NA,NA,NA
"195","5/12/2017",28,NA,NA,NA,NA,NA
"196","6/12/2017",31,NA,NA,NA,NA,NA
"197","7/12/2017",23,NA,NA,NA,NA,NA
"198","8/12/2017",31,NA,NA,NA,NA,NA
"199","9/12/2017",27,NA,NA,NA,NA,NA
"200","10/12/2017",23,NA,NA,NA,NA,NA
"201","11/12/2017",28,NA,NA,NA,NA,NA
"202","12/12/2017",24,NA,NA,NA,NA,NA
"203","13/12/2017",26,NA,NA,NA,NA,NA
"204","14/12/2017",35,NA,NA,NA,NA,NA
"205","15/12/2017",32,NA,NA,NA,NA,NA
"206","16/12/2017",32,NA,NA,NA,NA,NA
"207","17/12/2017",34,NA,NA,NA,NA,NA
"208","18/12/2017",31,NA,NA,NA,NA,NA
"209","19/12/2017",45,NA,NA,NA,NA,NA
"210","20/12/2017",41,NA,NA,NA,NA,NA
"211","21/12/2017",39,NA,NA,NA,NA,NA
"212","22/12/2017",33,NA,NA,NA,NA,NA
"213","23/12/2017",33,NA,NA,NA,NA,NA
"214","24/12/2017",33,NA,NA,NA,NA,NA
"215","25/12/2017",33,NA,NA,NA,NA,NA
"216","26/12/2017",21,NA,NA,NA,NA,NA
"217","27/12/2017",23,NA,NA,NA,NA,NA
"218","28/12/2017",25,NA,NA,NA,NA,NA
"219","29/12/2017",28,NA,NA,NA,NA,NA
"220","30/12/2017",49,NA,NA,NA,NA,NA
"221","31/12/2017",42,NA,NA,NA,NA,NA
"222","2/01/2018",27,NA,NA,NA,NA,NA
"223","3/01/2018",21,NA,NA,NA,NA,NA
"224","4/01/2018",21,NA,NA,NA,NA,NA
"225","5/01/2018",26,NA,NA,NA,NA,NA
"226","6/01/2018",23,NA,NA,NA,NA,NA
"227","7/01/2018",37,NA,NA,NA,NA,NA
"228","8/01/2018",44,NA,NA,NA,NA,NA
"229","9/01/2018",35,NA,NA,NA,NA,NA
"230","10/01/2018",27,NA,NA,NA,NA,NA
"231","11/01/2018",32,NA,NA,NA,NA,NA
"232","12/01/2018",40,NA,NA,NA,NA,NA
"233","13/01/2018",35,NA,NA,NA,NA,NA
"234","14/01/2018",40,NA,NA,NA,NA,NA
"235","15/01/2018",27,NA,NA,NA,NA,NA
"236","16/01/2018",25,NA,NA,NA,NA,NA
"237","17/01/2018",37,NA,NA,NA,NA,NA
"238","18/01/2018",39,NA,NA,NA,NA,NA
"239","19/01/2018",49,NA,NA,NA,NA,NA
"240","20/01/2018",35,NA,NA,NA,NA,NA
"241","21/01/2018",54,NA,NA,NA,NA,NA
"242","22/01/2018",62,NA,NA,NA,NA,NA
"243","23/01/2018",62,NA,NA,NA,NA,NA
"244","24/01/2018",36,NA,NA,NA,NA,NA
"245","25/01/2018",29,NA,NA,NA,NA,NA
"246","26/01/2018",44,NA,NA,NA,NA,NA
"247","27/01/2018",65,NA,NA,NA,NA,NA
"248","28/01/2018",57,NA,NA,NA,2,NA
"249","29/01/2018",57,NA,28,5,NA,1
"250","30/01/2018",36,NA,12,4,NA,1
"251","31/01/2018",27,NA,15,3,NA,NA
"252","1/02/2018",22,16,17,6,2,1
"253","2/02/2018",18,15,16,5,3,2
"254","3/02/2018",23,10,24,4,NA,2
"255","4/02/2018",27,8,3,5,NA,1
"256","5/02/2018",23,NA,NA,NA,NA,NA
"257","6/02/2018",30,NA,NA,NA,NA,NA
"258","7/02/2018",40,NA,NA,NA,NA,NA
"259","8/02/2018",42,NA,NA,NA,NA,NA
"260","9/02/2018",46,NA,NA,NA,NA,NA
"261","10/02/2018",50,NA,NA,NA,NA,NA
"262","11/02/2018",34,NA,NA,NA,NA,NA
"263","12/02/2018",32,NA,NA,NA,NA,NA
"264","13/02/2018",25,NA,NA,NA,NA,NA
"265","14/02/2018",21,NA,NA,NA,NA,NA
"266","15/02/2018",27,NA,NA,NA,NA,NA
"267","16/02/2018",33,NA,NA,NA,NA,NA
"268","17/02/2018",31,NA,NA,NA,NA,NA
"269","18/02/2018",41,NA,NA,NA,NA,NA
"270","19/02/2018",41,NA,NA,NA,NA,NA
"271","20/02/2018",64,NA,NA,NA,NA,NA
"272","23/02/2018",40,NA,NA,NA,NA,NA
"273","24/02/2018",39,NA,NA,NA,NA,NA
"274","25/02/2018",31,NA,NA,NA,NA,NA
"275","26/02/2018",27,NA,NA,NA,NA,NA
"276","27/02/2018",24,NA,NA,NA,NA,NA
"277","28/02/2018",29,NA,NA,NA,NA,NA
"278","1/03/2018",28,NA,NA,NA,NA,NA
"279","2/03/2018",30,NA,NA,NA,NA,NA
"280","3/03/2018",28,NA,NA,NA,NA,NA
"281","4/03/2018",36,NA,NA,NA,NA,NA
"282","5/03/2018",32,NA,NA,NA,NA,NA
"283","6/03/2018",27,NA,NA,NA,NA,NA
"284","7/03/2018",27,NA,NA,NA,NA,NA
"285","8/03/2018",33,NA,NA,NA,NA,NA
"286","9/03/2018",33,NA,NA,NA,NA,NA
"287","10/03/2018",39,NA,NA,NA,NA,NA
"288","11/03/2018",49,NA,NA,NA,NA,NA
"289","12/03/2018",37,NA,NA,NA,NA,NA
"290","13/03/2018",33,NA,NA,NA,NA,NA
"291","14/03/2018",27,NA,NA,NA,NA,NA
"292","15/03/2018",30,NA,NA,NA,NA,NA
"293","16/03/2018",38,NA,NA,NA,NA,NA
"294","17/03/2018",37,NA,NA,NA,NA,NA
"295","18/03/2018",43,NA,NA,NA,NA,NA
"296","19/03/2018",18,NA,NA,NA,NA,NA
"297","20/03/2018",20,NA,NA,NA,NA,NA
"298","21/03/2018",29,NA,NA,NA,NA,NA
"299","22/03/2018",29,NA,NA,NA,NA,NA
"300","23/03/2018",28,NA,NA,NA,NA,NA
"301","24/03/2018",28,NA,NA,NA,NA,NA
"302","25/03/2018",21,NA,NA,NA,NA,NA
"303","26/03/2018",24,NA,NA,NA,NA,NA
"304","27/03/2018",24,NA,NA,NA,NA,NA
"305","28/03/2018",28,NA,NA,NA,NA,NA
"306","29/03/2018",28,NA,NA,NA,NA,NA
"307","30/03/2018",30,NA,NA,NA,NA,NA
"308","31/03/2018",32,NA,NA,NA,NA,NA
"309","1/04/2018",30,NA,NA,NA,NA,NA
"310","2/04/2018",31,NA,NA,NA,NA,NA
"311","3/04/2018",32,NA,NA,NA,NA,NA
"312","4/04/2018",26,NA,NA,NA,NA,NA
"313","5/04/2018",24,NA,NA,NA,NA,NA
"314","6/04/2018",46,NA,NA,NA,NA,NA
"315","7/04/2018",51,NA,NA,NA,NA,NA
"316","8/04/2018",25,NA,NA,NA,NA,NA
"317","9/04/2018",35,NA,NA,NA,NA,NA
"318","10/04/2018",45,NA,NA,NA,NA,NA
"319","11/04/2018",47,NA,NA,NA,NA,NA
"320","12/04/2018",47,NA,NA,NA,NA,NA
"321","13/04/2018",51,NA,NA,NA,NA,NA
"322","14/04/2018",37,NA,NA,NA,NA,NA
"323","15/04/2018",21,NA,NA,NA,NA,NA
"324","16/04/2018",18,NA,NA,NA,NA,NA
"325","17/04/2018",20,NA,NA,NA,NA,NA
"326","18/04/2018",34,NA,NA,NA,NA,NA
"327","19/04/2018",36,NA,NA,NA,NA,NA
"328","20/04/2018",60,NA,NA,NA,NA,NA
"329","21/04/2018",85,NA,NA,NA,NA,NA
"330","22/04/2018",96,NA,NA,NA,NA,NA
"331","23/04/2018",113,NA,NA,NA,NA,NA
"332","24/04/2018",85,NA,NA,NA,NA,NA
"333","25/04/2018",61,NA,NA,NA,NA,NA
"334","26/04/2018",52,NA,NA,NA,NA,NA
"335","27/04/2018",38,NA,NA,NA,NA,NA
"336","28/04/2018",37,NA,NA,NA,NA,NA
"337","29/04/2018",32,NA,NA,NA,NA,NA
"338","30/04/2018",31,NA,NA,NA,NA,NA
"339","1/05/2018",29,NA,NA,NA,NA,NA
"340","2/05/2018",83,NA,NA,NA,NA,NA
"341","3/05/2018",81,NA,NA,NA,NA,NA
"342","4/05/2018",48,NA,NA,NA,NA,NA
"343","5/05/2018",21,NA,NA,NA,NA,NA
"344","6/05/2018",24,NA,NA,NA,NA,NA
"345","7/05/2018",31,NA,NA,NA,NA,NA
"346","8/05/2018",29,NA,NA,NA,NA,NA
"347","10/05/2018",49,NA,NA,NA,NA,NA
"348","11/05/2018",24,NA,NA,NA,NA,NA
"349","12/05/2018",25,NA,NA,NA,NA,NA
"350","13/05/2018",47,NA,NA,NA,NA,NA
"351","14/05/2018",24,NA,NA,NA,NA,NA
"352","15/05/2018",35,NA,NA,NA,NA,NA
"353","16/05/2018",53,NA,NA,NA,NA,NA
"354","17/05/2018",36,NA,NA,NA,NA,NA
"355","18/05/2018",30,NA,NA,NA,NA,NA
"356","19/05/2018",23,NA,NA,NA,NA,NA
"357","20/05/2018",27,NA,NA,NA,NA,NA
"358","21/05/2018",26,NA,NA,NA,NA,NA
"359","22/05/2018",26,NA,NA,NA,NA,NA
"360","23/05/2018",27,NA,NA,NA,NA,NA
"361","24/05/2018",37,NA,NA,NA,NA,NA
"362","25/05/2018",45,NA,NA,NA,NA,NA
"363","26/05/2018",41,NA,NA,NA,NA,NA
"364","27/05/2018",58,NA,NA,NA,NA,NA
"365","28/05/2018",62,NA,NA,NA,NA,NA
"366","29/05/2018",44,NA,NA,NA,NA,NA
"367","30/05/2018",26,NA,NA,NA,NA,NA
"368","31/05/2018",32,NA,NA,NA,NA,NA
"369","1/06/2018",32,NA,NA,NA,NA,NA
"370","2/06/2018",50,NA,NA,NA,NA,NA
"371","3/06/2018",66,NA,NA,NA,NA,NA
"372","4/06/2018",56,NA,NA,NA,NA,NA
"373","5/06/2018",51,NA,NA,NA,NA,NA
"374","6/06/2018",45,NA,NA,NA,NA,NA
"375","7/06/2018",50,NA,NA,NA,NA,NA
"376","8/06/2018",31,NA,NA,NA,NA,NA
"377","9/06/2018",19,NA,NA,NA,NA,NA
"378","10/06/2018",23,NA,NA,NA,NA,NA
"379","11/06/2018",65,NA,NA,NA,NA,NA
"380","12/06/2018",65,NA,NA,NA,NA,NA
"381","13/06/2018",15,NA,NA,NA,NA,NA
"382","14/06/2018",14,NA,NA,NA,NA,NA
"383","15/06/2018",17,NA,NA,NA,NA,NA
"384","16/06/2018",18,NA,NA,NA,NA,NA
"385","17/06/2018",19,NA,NA,NA,NA,NA
"386","18/06/2018",20,NA,NA,NA,NA,NA
"387","19/06/2018",30,NA,NA,NA,NA,NA
"388","20/06/2018",52,NA,NA,NA,NA,NA
"389","21/06/2018",48,NA,NA,NA,NA,NA
"390","22/06/2018",36,NA,NA,NA,NA,NA
"391","23/06/2018",57,NA,NA,NA,NA,NA
"392","24/06/2018",40,NA,NA,NA,NA,NA
"393","25/06/2018",37,NA,NA,NA,NA,NA
"394","26/06/2018",32,NA,NA,NA,NA,NA
"395","27/06/2018",41,NA,NA,NA,NA,NA
"396","28/06/2018",69,NA,NA,NA,NA,NA
"397","29/06/2018",104,NA,NA,NA,NA,NA
"398","30/06/2018",85,NA,NA,NA,NA,NA
"399","1/07/2018",25,NA,NA,NA,NA,NA
"400","2/07/2018",33,NA,NA,NA,NA,NA
"401","3/07/2018",55,NA,NA,NA,NA,NA
"402","4/07/2018",29,NA,NA,NA,NA,NA
"403","5/07/2018",22,NA,NA,NA,NA,NA
"404","6/07/2018",19,NA,NA,NA,NA,NA
"405","7/07/2018",15,NA,NA,NA,NA,NA
"406","8/07/2018",20,NA,NA,NA,NA,NA
"407","9/07/2018",28,NA,NA,NA,NA,NA
"408","10/07/2018",30,NA,NA,NA,NA,NA
"409","11/07/2018",24,NA,NA,NA,NA,NA
"410","12/07/2018",19,NA,NA,NA,NA,NA
"411","13/07/2018",34,NA,NA,NA,NA,NA
"412","14/07/2018",63,NA,NA,NA,NA,NA
"413","15/07/2018",67,NA,NA,NA,NA,NA
"414","16/07/2018",43,NA,NA,NA,NA,NA
"415","17/07/2018",22,NA,NA,NA,NA,NA
"416","18/07/2018",18,NA,NA,NA,NA,NA
"417","19/07/2018",9,NA,NA,NA,NA,NA
"418","21/07/2018",19,NA,NA,NA,NA,NA
"419","22/07/2018",27,NA,NA,NA,NA,NA
"420","23/07/2018",28,NA,NA,NA,NA,NA
"421","24/07/2018",17,NA,NA,NA,NA,NA
"422","25/07/2018",21,NA,NA,NA,NA,NA
"423","26/07/2018",32,NA,NA,NA,NA,NA
"424","27/07/2018",31,NA,NA,NA,NA,NA
"425","28/07/2018",27,NA,NA,NA,NA,NA
"426","29/07/2018",29,NA,NA,NA,NA,NA
"427","30/07/2018",25,NA,NA,NA,NA,NA
"428","31/07/2018",16,NA,NA,NA,NA,NA
"429","1/08/2018",21,NA,NA,NA,NA,NA
"430","2/08/2018",24,NA,NA,NA,NA,NA
"431","3/08/2018",39,NA,NA,NA,NA,NA
"432","4/08/2018",22,NA,NA,NA,NA,NA
"433","5/08/2018",12,NA,NA,NA,NA,NA
"434","6/08/2018",13,NA,NA,NA,NA,NA
"435","7/08/2018",5,NA,NA,NA,NA,NA
"436","8/08/2018",9,NA,NA,NA,NA,NA
"437","9/08/2018",16,NA,NA,NA,NA,NA
"438","10/08/2018",29,NA,NA,NA,NA,NA
"439","11/08/2018",22,NA,NA,NA,NA,NA
"440","12/08/2018",17,NA,NA,NA,NA,NA
"441","13/08/2018",14,NA,NA,NA,NA,NA
"442","14/08/2018",18,NA,NA,NA,NA,NA
"443","15/08/2018",23,NA,NA,NA,NA,NA
"444","16/08/2018",15,NA,NA,NA,NA,NA
"445","17/08/2018",26,NA,NA,NA,NA,NA
"446","18/08/2018",27,NA,NA,NA,NA,NA
"447","19/08/2018",16,NA,NA,NA,NA,NA
"448","20/08/2018",17,NA,NA,NA,NA,NA
"449","21/08/2018",25,NA,NA,NA,NA,NA
"450","22/08/2018",20,NA,NA,NA,NA,NA
"451","23/08/2018",25,NA,NA,NA,NA,NA
"452","24/08/2018",33,NA,NA,NA,NA,NA
"453","25/08/2018",48,NA,NA,NA,NA,NA
"454","26/08/2018",67,NA,NA,NA,NA,NA
"455","27/08/2018",70,NA,NA,NA,NA,NA
"456","28/08/2018",35,NA,NA,NA,NA,NA
"457","29/08/2018",39,NA,NA,NA,NA,NA
"458","2/09/2018",19,NA,NA,NA,NA,NA
"459","3/09/2018",22,NA,NA,NA,NA,NA
"460","4/09/2018",28,NA,NA,NA,NA,NA
"461","5/09/2018",33,NA,NA,NA,NA,NA
"462","6/09/2018",34,NA,NA,NA,NA,NA
"463","7/09/2018",13,NA,NA,NA,NA,NA
"464","8/09/2018",16,NA,NA,NA,NA,NA
"465","9/09/2018",36,NA,NA,NA,NA,NA
"466","10/09/2018",18,NA,NA,NA,NA,NA
"467","11/09/2018",21,NA,NA,NA,NA,NA
"468","12/09/2018",24,NA,NA,NA,NA,NA
"469","13/09/2018",22,NA,NA,NA,NA,NA
"470","14/09/2018",27,NA,NA,NA,NA,NA
"471","15/09/2018",20,NA,NA,NA,NA,NA
"472","16/09/2018",11,NA,NA,NA,NA,NA
"473","17/09/2018",11,NA,NA,NA,NA,NA
"474","18/09/2018",16,NA,NA,NA,NA,NA
"475","19/09/2018",11,NA,NA,NA,NA,NA
"476","20/09/2018",13,NA,NA,NA,NA,NA
"477","21/09/2018",21,NA,NA,NA,NA,NA
"478","22/09/2018",23,NA,NA,NA,NA,NA
"479","23/09/2018",29,NA,NA,NA,NA,NA
"480","24/09/2018",29,NA,NA,NA,NA,NA
"481","25/09/2018",18,NA,NA,NA,NA,NA
"482","26/09/2018",21,NA,NA,NA,NA,NA
"483","27/09/2018",23,NA,NA,NA,NA,NA
"484","28/09/2018",32,NA,NA,NA,NA,NA
"485","29/09/2018",15,NA,NA,NA,NA,NA
"486","30/09/2018",11,NA,NA,NA,NA,NA
"487","1/10/2018",19,NA,NA,NA,NA,NA
"488","2/10/2018",17,NA,NA,NA,NA,NA
"489","3/10/2018",20,NA,NA,NA,NA,NA
"490","4/10/2018",25,NA,NA,NA,NA,NA
"491","5/10/2018",23,NA,NA,NA,NA,NA
"492","6/10/2018",24,NA,NA,NA,NA,NA
"493","7/10/2018",25,NA,NA,NA,NA,NA
"494","8/10/2018",40,NA,NA,NA,NA,NA
"495","9/10/2018",39,NA,NA,NA,NA,NA
"496","11/10/2018",24,NA,NA,NA,NA,NA
"497","12/10/2018",21,NA,NA,NA,NA,NA
"498","13/10/2018",23,NA,NA,NA,NA,NA
"499","14/10/2018",18,NA,NA,NA,NA,NA
"500","15/10/2018",16,NA,NA,NA,NA,NA
"501","16/10/2018",11,NA,NA,NA,NA,NA
"502","17/10/2018",17,NA,NA,NA,NA,NA
"503","18/10/2018",14,NA,NA,NA,NA,NA
"504","19/10/2018",10,NA,NA,NA,NA,NA
"505","20/10/2018",14,NA,NA,NA,NA,NA
"506","21/10/2018",18,NA,NA,NA,NA,NA
"507","22/10/2018",27,NA,NA,NA,NA,NA
"508","23/10/2018",17,NA,NA,NA,NA,NA
"509","24/10/2018",25,NA,NA,NA,NA,NA
"510","25/10/2018",31,NA,NA,NA,NA,NA
"511","26/10/2018",25,NA,NA,NA,NA,NA
"512","27/10/2018",30,NA,NA,NA,NA,NA
"513","28/10/2018",25,NA,NA,NA,NA,NA
"514","29/10/2018",22,NA,NA,NA,NA,NA
"515","30/10/2018",19,NA,NA,NA,NA,NA
"516","31/10/2018",28,NA,NA,NA,NA,NA
